dateTime,t2m,sp,tp,pev,swvl1,lai_hv,slt
1985-01-01,275.7872,100520.81,1.4869361e-05,-0.00079077965,0.38254768,2.2544816,2.090762047455465
1985-01-02,273.77786,100153.82,2.2729386e-05,-0.000270632,0.37744448,2.2541575,2.090762047455465
1985-01-03,272.6056,99969.734,9.314244e-06,-0.00012641023,0.37408656,2.2538319,2.090762047455465
1985-01-04,272.95462,99754.555,6.765739e-05,-0.000115356575,0.3716397,2.2535098,2.090762047455465
1985-01-05,270.79608,100004.22,0.00021437205,-0.0003531493,0.36910564,2.253186,2.090762047455465
1985-01-06,272.8047,99705.38,0.0009819267,-0.0004059463,0.36926705,2.2528608,2.090762047455465
1985-01-07,269.8231,100032.66,0.00010985812,-0.0004284231,0.3680587,2.252538,2.090762047455465
1985-01-08,270.92297,99964.6,0.0012566724,-0.00030889676,0.36531928,2.2522116,2.090762047455465
1985-01-09,272.7884,99791.76,0.0002367404,-4.7003046e-05,0.3650408,2.2518864,2.090762047455465
1985-01-10,272.76877,100580.086,4.1453182e-05,-0.00012461685,0.36439955,2.25156,2.090762047455465
1985-01-11,271.29327,101149.06,1.4961504e-05,-5.0450853e-05,0.3630877,2.251241,2.090762047455465
1985-01-12,271.63846,101125.11,3.1601063e-05,-0.00012960669,0.36110428,2.2509167,2.090762047455465
1985-01-13,271.43182,100996.31,0.0006997361,-0.00020524416,0.35966825,2.250594,2.090762047455465
1985-01-14,270.00674,101245.71,0.00018622284,-0.00033038083,0.3577315,2.2502642,2.090762047455465
1985-01-15,270.76755,100800.18,0.00084829074,-0.00041597363,0.35656986,2.2499394,2.090762047455465
1985-01-16,268.13763,100371.73,0.000381022,-0.00032893877,0.3551378,2.2483687,2.090762047455465
1985-01-17,267.20883,99258.45,0.00022831942,-0.00032059872,0.3539523,2.2467382,2.090762047455465
1985-01-18,271.6575,98562.33,0.0045518437,-0.00029883915,0.35296187,2.2451022,2.090762047455465
1985-01-19,271.40036,98964.41,0.00087413733,-7.578523e-05,0.35232595,2.2434635,2.090762047455465
1985-01-20,272.45926,98098.69,0.0005865574,-7.522669e-05,0.35863364,2.2418346,2.090762047455465
1985-01-21,278.3358,96333.08,0.0071202875,0.00030060057,0.4122702,2.2402074,2.090762047455465
1985-01-22,274.85928,97117.84,0.0005320655,-0.0007422785,0.4056424,2.238573,2.090762047455465
1985-01-23,273.20364,98399.484,0.00013000902,-0.0005263855,0.39158788,2.2369182,2.090762047455465
1985-01-24,275.1157,98559.1,0.001922015,-0.00022659411,0.39800054,2.235296,2.090762047455465
1985-01-25,276.82678,97642.19,0.0011081618,4.0363888e-05,0.40673962,2.2336628,2.090762047455465
1985-01-26,274.00238,98054.53,0.0016851333,-0.0004168283,0.40672216,2.232039,2.090762047455465
1985-01-27,273.68567,98815.74,0.002283957,-0.0002169538,0.40156132,2.2304,2.090762047455465
1985-01-28,278.30563,98457.34,0.0025742007,-0.0004834148,0.4141721,2.2287621,2.090762047455465
1985-01-29,281.53537,99416.734,0.0013370672,7.624845e-05,0.40637463,2.2271357,2.090762047455465
1985-01-30,279.58517,100147.59,0.0002343426,-8.9239475e-05,0.40213197,2.2254977,2.090762047455465
1985-01-31,281.61884,99607.984,0.00088657095,-0.0010636083,0.39866185,2.2238853,2.090762047455465
1985-02-01,282.27786,99897.32,0.0002516787,-0.0010358704,0.38946694,2.2222457,2.090762047455465
1985-02-02,280.7014,100266.73,2.4792751e-05,-0.0008976995,0.3811227,2.220623,2.090762047455465
1985-02-03,280.61398,100792.195,0.00019379312,-0.00021676638,0.3775652,2.218985,2.090762047455465
1985-02-04,280.0279,100379.06,0.00012418286,-0.0003040821,0.37525433,2.217345,2.090762047455465
1985-02-05,278.06912,99530.69,1.4202866e-05,-0.0006630911,0.370363,2.2157166,2.090762047455465
1985-02-06,280.4648,99733.12,0.00035294643,-0.00031186116,0.36964798,2.2140825,2.090762047455465
1985-02-07,276.37326,99585.75,0.0061286557,-0.00037689973,0.40572226,2.212462,2.090762047455465
1985-02-08,274.07092,98382.66,0.008074834,-0.00041038243,0.4052762,2.210809,2.090762047455465
1985-02-09,271.16284,98653.164,0.005785031,-0.00049188815,0.39496857,2.2091744,2.090762047455465
1985-02-10,267.8687,98956.09,0.0004203783,-0.0007134909,0.38583213,2.2075484,2.090762047455465
1985-02-11,267.47318,99002.06,4.975477e-05,-0.00062394486,0.3806466,2.2059214,2.090762047455465
1985-02-12,267.1635,98959.82,2.6535656e-05,-0.0003790002,0.3766812,2.2042868,2.090762047455465
1985-02-13,267.681,99047.586,5.5075758e-05,-0.00022922902,0.37338093,2.2026489,2.090762047455465
1985-02-14,270.26535,99661.71,9.4207884e-05,-0.00042209143,0.3704378,2.20101,2.090762047455465
1985-02-15,268.90448,100605.8,1.566435e-05,-0.0011517633,0.3676459,2.1993828,2.090762047455465
1985-02-16,268.5759,100975.27,9.46445e-07,-0.00073802925,0.36513412,2.2007594,2.090762047455465
1985-02-17,270.81534,100852.54,2.1416425e-05,-0.00036436302,0.36440003,2.2022767,2.090762047455465
1985-02-18,270.02814,101239.85,2.1334126e-05,-0.00034967143,0.36330774,2.2037885,2.090762047455465
1985-02-19,270.9638,101330.16,3.0170904e-05,-0.00042031304,0.3629803,2.2052968,2.090762047455465
1985-02-20,274.95007,101514.414,0.00023373513,-0.00024503117,0.3790424,2.2068021,2.090762047455465
1985-02-21,275.63263,101332.62,0.00018873977,-9.672929e-05,0.39056838,2.208322,2.090762047455465
